,SPY,QQQ,SMH,XLU
2023-03-24,84.4916573971079,78.24637866940135,81.64552845528455,96.15757184371974
2023-03-27,84.64516129032258,77.6746570952442,80.6829268292683,96.25443978043268
2023-03-28,84.48943270300333,77.28752724009742,80.16910569105691,96.54504359057152
2023-03-29,85.69299221357063,78.69247532367645,82.65365853658537,97.93348401679044
2023-03-30,86.18464961067853,79.43853352134343,83.82439024390244,98.35324507587988
2023-03-31,87.41045606229143,80.7306755544161,84.50731707317073,99.06360994510817
2023-04-03,87.75973303670746,80.56659402640688,84.01300813008129,98.35324507587988
2023-04-04,87.26807563959956,80.29739776951672,82.69268292682926,98.86987407168228
2023-04-05,87.03893214682981,79.47442635559544,81.23577235772358,101.45301905069422
2023-04-06,87.37708565072303,80.0461479297526,80.97560975609755,102.16338391992251
2023-04-10,87.47719688542826,79.96154339187284,82.17235772357724,101.96964804649662
2023-04-11,87.47942157953281,79.46417126009486,81.79512195121951,102.03422667097192
2023-04-12,87.12569521690767,78.74887834892964,80.29268292682927,101.90506942202131
2023-04-13,88.2714126807564,80.3307268298936,80.91056910569105,101.93735873425896
2023-04-14,88.07786429365962,80.16664530188437,80.87154471544716,100.80723280594124
2023-04-17,88.38487208008898,80.21279323163697,80.8,101.38844042621892
2023-04-18,88.44493882091213,80.23330342263812,81.18373983739838,100.83952211817889
2023-04-19,88.45383759733036,80.21279323163697,80.42276422764228,101.64675492412012
2023-04-20,87.93548387096774,79.58979617997693,80.46829268292683,101.61446561188247
2023-04-21,88.00667408231368,79.68209203948211,79.68780487804878,101.90506942202131
2023-04-24,88.1067853170189,79.49237277272144,79.2390243902439,102.4216984178237
2023-04-25,86.71635150166853,77.98487373413664,76.74146341463414,102.2925411688731
2023-04-26,86.34260289210233,78.47968209203948,77.28780487804877,99.87084275104941
2023-04-27,88.05339265850945,80.6153057300346,78.00975609756098,101.09783661608009
2023-04-28,88.80533926585095,81.17933598256633,79.31056910569106,100.90410074265418
2023-05-01,88.73192436040044,81.07678502756056,79.9479674796748,101.13012592831772
2023-05-02,87.72191323692992,80.3358543776439,79.2260162601626,99.87084275104941
2023-05-03,87.11012235817574,79.85642866299192,78.45853658536585,99.64481756538586
2023-05-04,86.46941045606229,79.56415844122547,78.12682926829268,100.35518243461415
2023-05-05,88.11790878754171,81.24855787719524,79.8048780487805,101.06554730384244
2023-05-08,88.14238042269189,81.45878733495705,80.23414634146341,100.74265418146594
2023-05-09,87.74638487208009,80.91526727342648,79.02439024390245,100.5812076202777
2023-05-10,88.11790878754171,81.83053454685296,79.68780487804878,101.51759767516953
